# wikipedia-top.tsv  -- aggregated (reading, kanji, count) from mine_wikipedia.ps1
# generated from 15870 raw rows, 4886 distinct pairs
# columns: reading<TAB>kanji<TAB>count
ねん	年	361
てき	的	151
じょせい	女性	150
だんせい	男性	116
かん	館	113
つき	月	100
せい	性	98
ひほう	秘宝	81
しゃ	者	79
にち	日	77
にっぽん	日本	76
しゃせい	射精	63
じんじゃ	神社	61
ばあい	場合	61
おんな	女	57
ばいしゅん	売春	57
こしょう	小姓	54
せいてき	性的	53
けん	県	48
じだい	時代	47
そんざい	存在	47
かんれん	関連	46
ねんだい	年代	46
だい	大	41
み	見	39
なか	中	39
よば	呼ば	39
こうもく	項目	38
しょうわ	昭和	37
しゃしん	写真	37
おこなわ	行わ	37
いっぱん	一般	34
おおい	多い	34
はんばい	販売	33
しゃ	社	33
もちい	用い	33
し	市	32
さい	祭	32
きゃくちゅう	脚注	31
きゃく	客	31
かんけい	関係	31
しょてん	書店	30
はが	芳賀	30
えいが	映画	30
か	化	29
てん	店	29
き	期	28
うたがき	歌垣	28
ない	内	27
に	二	27
こくさい	国際	27
き	器	27
いち	一	26
しんよ	神輿	26
あい	愛	26
しよう	使用	25
まつの	松野	25
てんじ	展示	25
にょたい	女体	25
ぶんか	文化	25
だんこん	男根	25
ほん	本	24
まち	町	24
おこなう	行う	24
どうてい	童貞	24
ざかり	盛り	24
せいえき	精液	24
ふんどし	褌	24
まえ	前	24
ちゅう	中	24
かんこう	観光	23
したぎ	下着	23
じん	人	23
だんじょ	男女	23
にん	人	23
けい	系	22
えっちゅうふんどし	越中褌	22
にょうどう	尿道	22
おおく	多く	22
だい	第	22
しせつ	施設	22
さんか	参加	21
ひと	人	21
ちゃくよう	着用	21
さくひん	作品	21
げんざい	現在	21
さい	歳	20
かみ	神	20
しゃかい	社会	20
ちくび	乳首	20
やく	約	20
ご	後	20
えいご	英語	19
すう	数	19
しん	神	19
がいぶ	外部	19
とうじ	当時	19
い	医	19
めいしょう	名称	19
せかい	世界	19
ゆうめい	有名	19
さい	際	19
がんそ	元祖	18
ほう	法	18
いみ	意味	18
け	毛	18
せんしゅけん	選手権	18
しげき	刺激	18
こん	婚	18
かたち	形	18
えど	江戸	18
ぶ	部	18
しゅっぱん	出版	18
せいこうい	性行為	17
だんたい	団体	17
にたいして	に対して	17
ふうぞく	風俗	17
せいこう	性交	17
かげ	陰	17
れい	例	17
がいよう	概要	17
いせ	伊勢	17
はだか	裸	17
こうい	行為	17
しょうがい	障害	17
