# wikipedia-top.tsv  -- aggregated (reading, kanji, count) from mine_wikipedia.ps1
# generated from 13155 raw rows, 3481 distinct pairs
# columns: reading<TAB>kanji<TAB>count
さくひん	作品	208
ねん	年	201
ほうそう	放送	197
ばあい	場合	162
しょう	賞	125
えいが	映画	102
てき	的	95
にっぽん	日本	90
ばんぐみ	番組	87
しゃ	者	84
はいゆう	俳優	80
きゃくほん	脚本	78
じんぶつ	人物	65
きじ	記事	62
せいゆう	声優	61
しゅつえん	出演	59
きさい	記載	57
しよう	使用	57
ねんだい	年代	54
せいさく	製作	51
ふきかえ	吹き替え	51
さつえい	撮影	51
とうじょう	登場	47
げき	劇	47
めい	名	45
じょゆう	女優	43
つき	月	43
れい	例	41
だいし	台詞	41
しゅえん	主演	41
かい	回	40
ぶたい	舞台	39
じ	時	38
ちゅう	中	38
せいさく	制作	37
いこう	以降	36
かんとく	監督	36
しゅうろく	収録	35
しちょう	視聴	34
れんぞく	連続	34
おおい	多い	33
だい	第	33
にほんご	日本語	33
にち	日	32
ろくおん	録音	32
か	家	32
しゃ	車	31
えいぞう	映像	31
ひょうき	表記	30
さんか	参加	30
ばん	版	30
かいがい	海外	30
じこく	時刻	30
おおく	多く	30
よう	用	29
えんぎ	演技	29
ものがたり	物語	29
ほん	本	29
じだい	時代	29
にほんてれび	日本テレビ	27
いか	以下	27
かんれん	関連	27
げきだん	劇団	27
なか	中	27
こえ	声	27
しゅうりょう	終了	26
ご	語	26
げんざい	現在	25
さい	際	25
じょうほう	情報	25
えんじゃ	演者	25
か	化	25
こうもく	項目	25
やくめい	役名	25
せつめい	説明	25
しゃりょう	車両	25
いがい	以外	25
とう	等	25
えんげき	演劇	25
はっぴょう	発表	24
よば	呼ば	24
おこなわ	行わ	23
にんき	人気	23
せかい	世界	23
さいしゅう	最終	23
しゅう	週	23
なまえ	名前	23
おんせい	音声	23
じょうき	上記	23
えいご	英語	23
しょうせつ	小説	23
げんさく	原作	22
とうがい	当該	22
いっぱん	一般	22
かのう	可能	22
じっしゃ	実写	22
えんしゅつ	演出	22
かつどう	活動	22
げんば	現場	21
そんざい	存在	21
おこなう	行う	21
かひつ	加筆	21
かいわ	会話	21
すう	数	21
へんしゅう	編集	21
こうしき	公式	21
きょく	局	21
しゅってん	出典	20
だい	大	20
もちい	用い	20
みなみ	南	20
げきじょう	劇場	20
もくてき	目的	20
やく	役	20
しっぴつ	執筆	20
ていきょう	提供	20
せい	性	19
ふくすう	複数	19
さんしょう	参照	19
さす	指す	19
ひょうげん	表現	19
しゅじんこう	主人公	19
つかわ	使わ	19
ほうえい	放映	19
わく	枠	19
おわる	終わる	19
かいきん	解禁	18
こうかい	公開	18
じかん	時間	18
がいこく	外国	18
かいしゃ	会社	18
とうきょう	東京	17
てれびあさひ	テレビ朝日	17
しゅほう	手法	17
たんとう	担当	17
つうじょう	通常	17
ご	後	17
めいじ	明治	17
にん	人	17
こくさい	国際	17
まんが	漫画	17
もと	元	17
さく	作	17
た	他	16
きほん	基本	16
いちぶ	一部	16
はいしん	配信	16
おも	主	16
じっさい	実際	16
べつ	別	16
れきし	歴史	16
いち	一	16
りゆう	理由	16
あい	愛	16
ひつよう	必要	15
そのた	その他	15
きかく	企画	15
りつ	率	15
じょう	上	15
ようご	用語	15
